City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,Sid,45.1283,19.2264,65.68,62,17,3.44,RS,2022-05-12 20:32:43
134,Kruisfontein,-34.0033,24.7314,54.88,88,6,6.8,ZA,2022-05-12 20:28:59
135,Kailua,21.4022,-157.7394,82.38,64,40,10.36,US,2022-05-12 20:32:44
136,Bardiyah,31.7561,25.0865,66.27,74,89,3.65,LY,2022-05-12 20:29:49
137,Aksarka,66.5606,67.7975,34.63,100,100,3.65,RU,2022-05-12 20:29:01
138,Vestmanna,62.1564,-7.1664,41.92,70,75,18.41,FO,2022-05-12 20:32:44
139,Xingyi,24.1877,102.817,58.42,96,25,1.9,CN,2022-05-12 20:31:29
140,Conde,-7.2597,-34.9075,81.86,78,20,10.36,BR,2022-05-12 20:32:45
141,Saint George,37.1041,-113.5841,70.79,20,0,4.61,US,2022-05-12 20:27:54
142,Volovo,48.5246,23.5056,58.26,97,74,2.46,UA,2022-05-12 20:32:46
143,Pampa,35.5362,-100.9599,98.56,21,0,9.22,US,2022-05-12 20:32:46
144,Moose Factory,51.2585,-80.6094,53.6,82,75,8.05,CA,2022-05-12 20:32:47
145,Port Blair,11.6667,92.75,78.84,94,75,2.3,IN,2022-05-12 20:28:48
146,Srednekolymsk,67.45,153.6833,32.23,87,7,7.2,RU,2022-05-12 20:28:32
147,Nanortalik,60.1432,-45.2371,35.87,75,100,3.13,GL,2022-05-12 20:27:13
148,Nikki,9.9401,3.2108,80.1,70,31,5.21,BJ,2022-05-12 20:32:47
149,Cuiluan,47.72,128.648,37.22,63,55,1.99,CN,2022-05-12 20:32:48
150,Mount Gambier,-37.8333,140.7667,56.52,89,100,2.48,AU,2022-05-12 20:28:30
151,Ahipara,-35.1667,173.1667,51.67,81,40,4.7,NZ,2022-05-12 20:28:07
152,Marawi,7.9986,124.2928,70.41,93,100,2.68,PH,2022-05-12 20:32:49
153,Denpasar,-8.65,115.2167,82.06,94,40,4.61,ID,2022-05-12 20:29:38
154,Ponta Do Sol,32.6667,-17.1,71.01,81,45,3.36,PT,2022-05-12 20:29:07
155,Kodiak,57.79,-152.4072,49.51,57,75,10.36,US,2022-05-12 20:27:00
156,Laguna,38.421,-121.4238,71.89,30,0,9.22,US,2022-05-12 20:32:50
157,Carnarvon,-24.8667,113.6333,64.47,94,75,16.11,AU,2022-05-12 20:28:28
158,Masuguru,-11.3667,38.4167,71.33,66,60,3.0,TZ,2022-05-12 20:32:50
159,Batsfjord,70.6345,29.7185,37.33,80,53,16.11,NO,2022-05-12 20:32:51
160,Abriaqui,6.6315,-76.0644,63.82,86,100,2.13,CO,2022-05-12 20:32:51
161,Korla,41.7597,86.1469,57.7,66,100,17.45,CN,2022-05-12 20:28:32
162,Itarema,-2.9248,-39.9167,78.82,88,56,10.76,BR,2022-05-12 20:30:22
163,Mogzon,51.7435,111.9606,32.72,89,100,3.51,RU,2022-05-12 20:32:52
164,Ribeira Grande,38.5167,-28.7,61.2,67,75,12.66,PT,2022-05-12 20:27:14
165,Hamilton,39.1834,-84.5333,86.76,34,0,6.91,US,2022-05-12 20:27:46
166,Melita,49.2681,-100.9967,58.53,59,100,19.6,CA,2022-05-12 20:32:53
167,Bilibino,68.0546,166.4372,28.13,84,42,4.05,RU,2022-05-12 20:30:23
168,Oksfjord,70.2396,22.3479,37.47,99,100,8.95,NO,2022-05-12 20:32:53
169,Paragominas,-2.9667,-47.4833,75.69,94,76,1.21,BR,2022-05-12 20:32:54
170,Arraial Do Cabo,-22.9661,-42.0278,75.06,69,75,13.8,BR,2022-05-12 20:27:44
171,Zeya,53.75,127.2667,37.2,88,100,2.19,RU,2022-05-12 20:32:54
172,Bara,10.3744,10.7288,89.92,44,36,4.94,NG,2022-05-12 20:32:55
173,Kandrian,-6.2167,149.55,78.94,83,100,6.64,PG,2022-05-12 20:32:55
174,Hokitika,-42.7167,170.9667,51.82,78,100,3.85,NZ,2022-05-12 20:32:56
175,Victoria,22.2855,114.1577,78.94,97,100,1.01,HK,2022-05-12 20:23:47
176,Kedrovyy,56.1667,91.8167,32.41,50,15,3.2,RU,2022-05-12 20:29:31
177,Abnub,27.2696,31.1511,82.62,20,0,14.05,EG,2022-05-12 20:32:57
178,Beruwala,6.4788,79.9828,81.03,83,48,13.65,LK,2022-05-12 20:32:57
179,Coruripe,-10.1256,-36.1756,77.36,80,12,7.49,BR,2022-05-12 20:32:58
180,Peterhead,57.5058,-1.7981,52.45,76,100,18.32,GB,2022-05-12 20:32:58
181,Alice Springs,-23.7,133.8833,44.15,76,38,0.0,AU,2022-05-12 20:30:36
182,Dikson,73.5069,80.5464,13.82,92,98,6.15,RU,2022-05-12 20:28:22
183,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,83.77,76,39,1.86,BR,2022-05-12 20:30:17
184,Provideniya,64.3833,-173.3,37.51,81,20,4.47,RU,2022-05-12 20:29:12
185,Egvekinot,66.3167,-179.1667,25.99,88,95,2.64,RU,2022-05-12 20:29:30
186,Santiago Del Estero,-27.7951,-64.2615,78.13,40,14,13.91,AR,2022-05-12 20:28:50
187,Kitimat,54.0524,-128.6534,47.91,55,100,2.8,CA,2022-05-12 20:32:59
188,Beloha,-25.1667,45.05,63.3,85,4,8.34,MG,2022-05-12 20:31:11
189,Huarmey,-10.0681,-78.1522,69.42,76,22,10.69,PE,2022-05-12 20:33:00
190,Codrington,-38.2667,141.9667,55.58,91,91,4.65,AU,2022-05-12 20:29:58
191,Margate,51.3813,1.3862,55.69,74,22,4.0,GB,2022-05-12 20:33:01
192,Athni,16.7333,75.0667,77.09,81,94,14.9,IN,2022-05-12 20:33:01
193,Tabas,33.5959,56.9244,82.62,10,0,6.91,IR,2022-05-12 20:33:02
194,Atar,20.5169,-13.0499,97.59,15,15,12.17,MR,2022-05-12 20:28:03
195,Tilichiki,60.4667,166.1,31.78,93,100,4.47,RU,2022-05-12 20:29:51
196,Alugan,12.2188,125.4808,79.79,83,91,4.07,PH,2022-05-12 20:33:03
197,Lillehammer,61.1146,10.4674,41.56,67,24,4.36,NO,2022-05-12 20:33:03
198,Corvallis,44.5646,-123.262,50.76,86,100,17.27,US,2022-05-12 20:33:04
199,Richards Bay,-28.783,32.0377,70.7,83,1,10.63,ZA,2022-05-12 20:31:55
200,Nikolskoye,59.7035,30.7861,46.29,85,100,11.92,RU,2022-05-12 20:27:47
201,Praia,14.9215,-23.5087,82.94,42,0,21.85,CV,2022-05-12 20:30:23
202,Frederico Westphalen,-27.3592,-53.3944,57.43,83,0,1.79,BR,2022-05-12 20:33:05
203,Wloclawek,52.6482,19.0678,53.53,70,92,3.53,PL,2022-05-12 20:33:06
204,Baherden,38.4362,57.4316,69.24,58,100,13.47,TM,2022-05-12 20:33:06
205,Boa Vista,2.8197,-60.6733,85.98,62,75,10.36,BR,2022-05-12 20:33:07
206,Paracuru,-3.41,-39.0306,82.11,89,30,9.69,BR,2022-05-12 20:33:08
207,Abashiri,44.0213,144.2697,50.95,79,48,2.15,JP,2022-05-12 20:33:08
208,Luangwa,-15.6167,30.4167,68.49,67,0,2.35,ZM,2022-05-12 20:33:09
209,Tiksi,71.6872,128.8694,13.33,88,10,9.95,RU,2022-05-12 20:28:24
210,Grindavik,63.8424,-22.4338,42.75,65,40,16.11,IS,2022-05-12 20:29:14
211,Booue,-0.0921,11.9385,76.15,86,48,1.57,GA,2022-05-12 20:33:10
212,Portland,45.5234,-122.6762,52.38,84,100,17.0,US,2022-05-12 20:32:52
213,Nelson Bay,-32.7167,152.15,67.08,99,100,19.57,AU,2022-05-12 20:33:10
214,Salinas,36.6777,-121.6555,70.99,53,0,14.97,US,2022-05-12 20:33:11
215,Stornoway,58.2093,-6.3865,48.92,91,75,14.97,GB,2022-05-12 20:33:11
216,Longyearbyen,78.2186,15.6401,19.24,58,0,13.8,SJ,2022-05-12 20:23:54
217,Komsomolskiy,40.4272,71.7189,68.72,52,100,2.3,UZ,2022-05-12 20:29:11
218,Horsham,51.064,-0.3272,57.25,76,0,6.91,GB,2022-05-12 20:33:12
219,Moron,-34.6534,-58.6198,60.96,69,9,6.35,AR,2022-05-12 20:33:13
220,Lishu,43.3047,124.3278,44.4,37,74,3.31,CN,2022-05-12 20:33:13
221,Shimoda,34.6667,138.95,66.16,98,100,4.7,JP,2022-05-12 20:33:14
222,Ngama,11.7833,17.1667,98.46,25,93,8.32,TD,2022-05-12 20:33:14
223,Tottori,35.5,134.2333,64.15,97,100,1.48,JP,2022-05-12 20:33:15
224,Yar-Sale,66.8333,70.8333,34.72,100,100,3.96,RU,2022-05-12 20:27:55
225,Qaanaaq,77.484,-69.3632,18.28,73,21,2.59,GL,2022-05-12 20:27:42
226,Mongoumba,3.6415,18.5936,74.66,75,28,1.66,CF,2022-05-12 20:33:16
227,Mocajuba,-2.5842,-49.5072,76.17,96,87,2.77,BR,2022-05-12 20:33:16
228,Alofi,-19.0595,-169.9187,76.89,88,100,6.91,NU,2022-05-12 20:30:45
229,Cabedelo,-6.9811,-34.8339,83.07,82,16,11.21,BR,2022-05-12 20:31:47
230,Soure,-0.7167,-48.5233,77.9,87,100,7.29,BR,2022-05-12 20:33:17
231,Chumikan,54.7183,135.315,32.49,99,100,0.76,RU,2022-05-12 20:31:26
232,Lebu,-37.6167,-73.65,55.0,82,94,6.67,CL,2022-05-12 20:30:33
233,Nampula,-15.1165,39.2666,69.75,83,75,5.75,MZ,2022-05-12 20:33:18
234,Aksu,41.1231,80.2644,65.35,45,100,1.5,CN,2022-05-12 20:33:19
235,Gizo,-8.103,156.8419,82.49,73,97,5.57,SB,2022-05-12 20:30:59
236,Hofn,64.2539,-15.2082,40.55,58,92,15.17,IS,2022-05-12 20:33:20
237,Benghazi,32.1167,20.0667,66.2,63,23,15.01,LY,2022-05-12 20:33:20
238,Makaryev,57.8797,43.8069,43.02,84,51,12.44,RU,2022-05-12 20:33:21
239,Port Elizabeth,-33.918,25.5701,60.31,90,20,8.05,ZA,2022-05-12 20:29:19
240,Berbera,10.4396,45.0143,87.1,53,100,4.36,SO,2022-05-12 20:33:21
241,Golden,39.7555,-105.2211,73.71,10,0,23.02,US,2022-05-12 20:33:22
242,Amahai,-3.3333,128.9167,78.89,85,96,3.53,ID,2022-05-12 20:33:22
243,Serchhip,23.3,92.8333,64.58,99,90,1.99,IN,2022-05-12 20:33:23
244,Olafsvik,64.8945,-23.7142,35.69,73,96,28.25,IS,2022-05-12 20:33:24
245,Nago,26.5881,127.9761,79.65,90,100,11.77,JP,2022-05-12 20:33:24
246,Severo-Kurilsk,50.6789,156.125,39.81,92,76,4.09,RU,2022-05-12 20:27:40
247,Hasaki,35.7333,140.8333,64.8,97,100,9.55,JP,2022-05-12 20:31:11
248,Meulaboh,4.1363,96.1285,78.15,84,100,3.96,ID,2022-05-12 20:29:34
249,Caucaia,-3.7361,-38.6531,82.35,76,20,11.5,BR,2022-05-12 20:33:25
250,Barao De Melgaco,-16.1944,-55.9675,84.51,48,88,2.21,BR,2022-05-12 20:33:26
251,Nhulunbuy,-12.2333,136.7667,74.01,94,39,0.0,AU,2022-05-12 20:33:26
252,Aban,56.67,96.06,45.82,46,73,4.23,RU,2022-05-12 20:33:27
253,Esmeraldas,-19.7625,-44.3139,78.04,59,100,2.26,BR,2022-05-12 20:31:24
254,Luderitz,-26.6481,15.1594,55.51,80,3,12.75,NA,2022-05-12 20:29:49
255,Yatou,37.15,122.3833,55.51,62,89,11.18,CN,2022-05-12 20:33:28
256,Bengkulu,-3.8004,102.2655,75.83,87,100,2.73,ID,2022-05-12 20:31:45
257,Polunochnoye,60.8697,60.4153,44.29,69,90,2.55,RU,2022-05-12 20:33:28
258,Cocobeach,1.0002,9.5823,80.64,83,100,6.53,GA,2022-05-12 20:33:29
259,Cessnock,-32.8333,151.35,66.13,98,100,2.64,AU,2022-05-12 20:29:35
260,Mackenzie,55.2999,-123.1698,53.82,37,100,13.8,CA,2022-05-12 20:33:30
261,Sorland,67.667,12.6934,44.46,90,99,9.37,NO,2022-05-12 20:31:13
262,Talisay,10.2447,123.8494,80.62,89,20,4.61,PH,2022-05-12 20:33:30
263,Tafo,6.7345,-1.6127,73.78,95,94,5.14,GH,2022-05-12 20:33:31
264,Golubitskaya,45.3222,37.2822,48.61,78,81,17.29,RU,2022-05-12 20:33:31
265,Baykit,61.67,96.37,34.41,97,78,0.74,RU,2022-05-12 20:32:20
266,Calama,-22.4667,-68.9333,70.29,11,0,20.71,CL,2022-05-12 20:33:32
267,Dandong,40.1292,124.3947,51.93,61,100,4.68,CN,2022-05-12 20:33:33
268,Sola,-13.8833,167.55,75.65,89,100,12.8,VU,2022-05-12 20:31:07
269,Bani,18.2833,-70.3333,83.86,73,100,8.77,DO,2022-05-12 20:30:14
270,Kimbe,-5.5502,150.1429,77.16,91,100,2.48,PG,2022-05-12 20:33:33
271,Zonguldak,41.25,31.8333,47.53,76,0,5.12,TR,2022-05-12 20:33:34
272,Zorritos,-3.6805,-80.6782,82.69,73,16,12.39,PE,2022-05-12 20:33:34
273,Bethel,41.3712,-73.414,81.66,62,40,6.91,US,2022-05-12 20:27:47
274,Acapulco,16.8634,-99.8901,91.22,58,0,12.66,MX,2022-05-12 20:27:04
275,Marquette,46.5333,-87.6335,62.82,72,94,6.04,US,2022-05-12 20:33:35
276,North Platte,41.1239,-100.7654,88.38,27,0,20.0,US,2022-05-12 20:33:35
277,Platteville,42.7342,-90.4785,93.76,40,40,21.85,US,2022-05-12 20:33:36
278,Hami,42.8,93.45,60.19,18,66,24.79,CN,2022-05-12 20:29:51
279,Wanning,18.8003,110.3967,79.88,91,80,7.38,CN,2022-05-12 20:33:37
280,Chipinge,-20.1883,32.6236,55.56,92,4,4.27,ZW,2022-05-12 20:33:37
281,Mgarr,36.0253,14.295,67.03,74,0,3.44,MT,2022-05-12 20:33:38
282,Kyra,49.5776,111.9753,33.48,89,97,5.3,RU,2022-05-12 20:33:39
283,Kloulklubed,7.0419,134.2556,83.55,78,100,11.81,PW,2022-05-12 20:30:17
284,Kalmunai,7.4167,81.8167,80.46,74,100,5.39,LK,2022-05-12 20:29:42
285,Upata,8.0086,-62.3989,78.48,77,77,6.73,VE,2022-05-12 20:33:39
286,Constitucion,-35.3333,-72.4167,54.77,92,100,2.01,CL,2022-05-12 20:25:56
287,Noumea,-22.2763,166.4572,73.99,99,100,16.04,NC,2022-05-12 20:30:12
288,Cairns,-16.9167,145.7667,74.07,97,75,4.61,AU,2022-05-12 20:32:28
289,Imeni Poliny Osipenko,52.4201,136.4853,35.28,75,87,2.28,RU,2022-05-12 20:33:40
290,Abay,49.6311,72.8539,39.58,50,6,6.13,KZ,2022-05-12 20:33:41
291,Maumere,-8.6199,122.2111,79.21,79,43,2.3,ID,2022-05-12 20:33:41
292,Bandarbeyla,9.4942,50.8122,81.61,87,97,15.39,SO,2022-05-12 20:30:13
293,Sylling,59.8952,10.2792,52.12,54,52,5.86,NO,2022-05-12 20:33:42
294,Rustenburg,-25.6676,27.2421,61.36,43,0,3.49,ZA,2022-05-12 20:33:42
295,Banamba,13.55,-7.45,93.15,10,84,7.92,ML,2022-05-12 20:33:43
